name, EFF, INC, REV, DEV, LM_t, LM_t|bne, LM_bne
bid, 0.9593859468836595, 0.2394909100775049, 0.8497721712042168, 0.21095601130653527, 0.38356, 0.2490576, 0.2179138
quadratic, 0.978166095339838, 0.1714442075151974, 0.942405358056361, 0.16294671929128807, 0.2502908, 0.1686868, 0.1688046
proxy, 0.9900646948591583, 0.12256027799997407, 1.0238295313722623, 0.09339174036194915, 0.1085132, 0.0926532, 0.1277216
shapley, 0.9868816243349156, 0.13276471205896503, 0.9908475558209014, 0.1266564555685059, 0.170375, 0.1187025, 0.1557453
svcg, 0.986579323597931, 0.13399216584480167, 0.9896240633345457, 0.12877626942362197, 0.13956593333406248, 0.0939441333324968, 0.13317860000028375
bid, 0.9579799732041443, 0.24323328267020553, 0.8485241552228121, 0.21382634843909432, 0.391774, 0.2499352, 0.2211094
quadratic, 0.9778080374118471, 0.17299240353694517, 0.9478771384326867, 0.1635403355262362, 0.2503118, 0.168348, 0.168465
proxy, 0.9912175001732166, 0.11462787303684638, 1.0415423152166443, 0.08729608964064432, 0.1002416, 0.0865712, 0.1173392
shapley, 0.9873828187268604, 0.12984733611662028, 1.0020523483938264, 0.12490891011462851, 0.1669551, 0.1156526, 0.1496475
svcg, 0.9871535323029613, 0.13085038775880165, 1.0014867900262636, 0.12651530241714687, 0.13532360000053345, 0.09062253333254676, 0.12635560000002471
bid, 0.9566141843046685, 0.2467787902470224, 0.8477230054682198, 0.2165310335404895, 0.4001526, 0.2507148, 0.2242936
quadratic, 0.9774389044170189, 0.17459276659514042, 0.9535594417079918, 0.16411049064820532, 0.2503698, 0.1681054, 0.1682016
proxy, 0.9923329457407842, 0.10653316259776081, 1.0598980681840875, 0.08111138543804687, 0.0919348, 0.080308, 0.107066
shapley, 0.9878684325118569, 0.12712905630621002, 1.013735103857493, 0.12303065968504838, 0.1635197, 0.1128455, 0.1439486
svcg, 0.9876085196738374, 0.12839112145227485, 1.01295168028734, 0.12464071479376157, 0.13103293333364274, 0.08731553333260125, 0.11978539999972854
bid, 0.9551642660810788, 0.2503682005656539, 0.8468943217735597, 0.21925394425077616, 0.4085342, 0.25145, 0.2272976
quadratic, 0.9770938227221687, 0.17608635433833003, 0.9602279095920293, 0.16442340780411702, 0.250386, 0.1680016, 0.1681306
proxy, 0.9934541202441982, 0.0980229776527198, 1.0799427787314857, 0.07426958314860786, 0.0835528, 0.0739692, 0.0966264
shapley, 0.9883635904899777, 0.12435819180455795, 1.0260054549639952, 0.12076533848219348, 0.1600337, 0.1103686, 0.1388997
svcg, 0.9880872266227944, 0.12579751071065903, 1.0252706630208177, 0.12237409732874313, 0.1266912000000546, 0.08423339999932444, 0.11383066666606946
bid, 0.95269952647026, 0.2564635340405095, 0.8383520500302597, 0.22485961483761654, 0.4167984, 0.2496074, 0.2271924
quadratic, 0.9766245882805012, 0.1779145589557966, 0.9653234323164191, 0.1652284723012358, 0.2504032, 0.1676888, 0.167724
proxy, 0.9944261782925592, 0.08990039124086796, 1.0985412518942719, 0.0686150868577509, 0.075142, 0.0670636, 0.086192
shapley, 0.9887149497520584, 0.12246188433911404, 1.0383671342949121, 0.11919398251991478, 0.1565563, 0.1074329, 0.133392
svcg, 0.9883831110137842, 0.1242044152335519, 1.037241956506029, 0.12087335898563366, 0.12235066666643499, 0.08078286666606836, 0.10737653333231623
bid, 0.9522940022779607, 0.2571248784519108, 0.8459475039472855, 0.22438473622424424, 0.4251546, 0.2527542, 0.2329884
quadratic, 0.976195199724619, 0.17960334872768424, 0.9718000208034214, 0.16566945054087012, 0.2503316, 0.1674562, 0.167456
proxy, 0.9954134932047983, 0.08117765645352537, 1.1193736016336884, 0.06200402636767985, 0.066764, 0.0603148, 0.0759996
shapley, 0.9890749572035734, 0.12053543723452197, 1.051251866431592, 0.11723989080972383, 0.1529955, 0.1047919, 0.1284408
svcg, 0.9887522108576711, 0.12235459704440522, 1.049998723482958, 0.11884434685489273, 0.117979866666111, 0.07762799999948, 0.10164286666549484
bid, 0.9508632918780102, 0.26040825872537826, 0.8455269286400049, 0.22689456103214126, 0.433382, 0.2532724, 0.235621
quadratic, 0.9756774939781219, 0.1815115197431649, 0.978346047482604, 0.16621724648381486, 0.250243, 0.167124, 0.1670834
proxy, 0.9963251329971641, 0.07227697467564795, 1.141123902814039, 0.055279901713836274, 0.0584956, 0.0534604, 0.0658712
shapley, 0.9894078204399029, 0.11883665093224215, 1.0647518046221625, 0.11520499518973877, 0.1495155, 0.1022981, 0.123839
svcg, 0.9890890491986005, 0.12066281541571915, 1.063531728523388, 0.11669767826917757, 0.11368986666576117, 0.07458239999956302, 0.09619146666556623
bid, 0.9490466174583438, 0.26461620359316335, 0.8424197889761116, 0.23042043745476176, 0.4416504, 0.2527022, 0.237239
quadratic, 0.9751325547845434, 0.1834409525038905, 0.9852398409072324, 0.1667334493166495, 0.2503302, 0.1669748, 0.1668434
proxy, 0.9971749216730587, 0.06312553831474772, 1.1639966431664661, 0.04837460217572885, 0.0501344, 0.0463204, 0.0558056
shapley, 0.9896375469281563, 0.11768810312174778, 1.0786055669224273, 0.11334272520649123, 0.1460587, 0.0997772, 0.1194175
svcg, 0.9892831111210055, 0.11971544859319475, 1.0766917860093388, 0.11498903685473466, 0.10938246666536673, 0.07141486666632857, 0.09090013333232021
bid, 0.9475811497144296, 0.26773505689319166, 0.8424808415093112, 0.23279394525863448, 0.4500732, 0.2531406, 0.239779
quadratic, 0.974808055585087, 0.18454554011321134, 0.9944814650461244, 0.16633824794422108, 0.2502994, 0.1671346, 0.1670732
proxy, 0.9980137205461979, 0.0528099705167257, 1.1904686529683441, 0.039992619883904755, 0.0416788, 0.03911, 0.0458208
shapley, 0.9899564458696701, 0.11595341376787621, 1.0933871727115512, 0.11078733599665593, 0.1424976, 0.0976734, 0.11559
svcg, 0.9897223534138161, 0.11735902215658024, 1.0926633455524946, 0.11178837921942504, 0.10498833333158208, 0.06886459999974907, 0.0863515333324077
