name, EFF, INC, REV, DEV, LM_t, LM_t|bne, LM_bne
quadratic, 0.9803353775267475, 0.16149899682798186, 0.913299009431576, 0.15688625937332074, 0.2504656, 0.171966, 0.1717702
proxy, 0.981649774202031, 0.17290076078506245, 0.9190517687600733, 0.13212289526508, 0.1668456, 0.1322412, 0.1997056
shapley, 0.9826213268632252, 0.1597801358298522, 0.9233613680598569, 0.13897553568759619, 0.1947892, 0.1411982, 0.2041334
svcg, 0.9828420547802467, 0.15672397927840523, 0.9247852220365029, 0.14033905935411223, 0.1698182000016019, 0.11965499999977161, 0.18737846666774777
bid, 0.9678524721677162, 0.21448460922167328, 0.8614479188466766, 0.1918534311690077, 0.3337416, 0.2417936, 0.19622
quadratic, 0.9776791768583062, 0.1637289695835055, 0.9247225090264485, 0.15883516712423512, 0.2753784, 0.1877832, 0.1794186
proxy, 0.9792704612819477, 0.1884882948209854, 0.9105682844803461, 0.14014626898965177, 0.1825084, 0.1445536, 0.1959348
shapley, 0.9811675414513695, 0.16663090157666868, 0.9282532661427368, 0.14268894697457205, 0.2135177, 0.154501, 0.2023981
svcg, 0.9811652652533054, 0.16325865295698397, 0.929890779502699, 0.14420124769861833, 0.1860932000021967, 0.13087493333352446, 0.18480920000113785
bid, 0.9647792001718885, 0.21164118836546292, 0.8872780219608738, 0.18879040184289328, 0.3654166, 0.2658656, 0.2137354
quadratic, 0.9753419619603744, 0.1630840257636203, 0.9395402547443543, 0.15825601733899083, 0.3003842, 0.2043788, 0.1881302
proxy, 0.9766550650571821, 0.20663593853882528, 0.8924617064738578, 0.15030097064480077, 0.1967452, 0.1562972, 0.1897348
shapley, 0.9779285013657206, 0.18276285419857355, 0.9135879547817048, 0.1522545372929946, 0.2312954, 0.1662, 0.199949
svcg, 0.9776800379454426, 0.17941353106091204, 0.9152389746244719, 0.15357301892551503, 0.20190526666945144, 0.14144766666726025, 0.18300226666782687
bid, 0.9635653065521658, 0.2019897991196115, 0.9229326213290974, 0.179453215291247, 0.393664, 0.2901566, 0.2278908
quadratic, 0.973396858949423, 0.15973912813753652, 0.9594149018247945, 0.15478430035418614, 0.3253578, 0.2224116, 0.1984854
proxy, 0.9732921603346804, 0.22561143775056067, 0.8655481329466461, 0.16290258292128165, 0.2094144, 0.166654, 0.1831052
shapley, 0.9738671754575581, 0.19958947526677848, 0.8901423404223762, 0.1641590328442312, 0.2480463, 0.1758479, 0.1971412
svcg, 0.9727594754413349, 0.20042383197157615, 0.8850481878937106, 0.16773775496766288, 0.2169466666692195, 0.15035960000092682, 0.1808728000011266
bid, 0.9632393765629205, 0.1894266557975301, 0.9573332505640569, 0.16845778207407106, 0.4185866, 0.3123492, 0.2365504
quadratic, 0.9718378202178627, 0.15488052032060337, 0.9820720602572843, 0.14929335608912914, 0.3503836, 0.242116, 0.210201
proxy, 0.9707192859275146, 0.235265634816388, 0.847815439514578, 0.17158479739159443, 0.2202564, 0.1759448, 0.176686
shapley, 0.9699576428052831, 0.21013360742709386, 0.8712379575497616, 0.17382278541537718, 0.2636546, 0.1826356, 0.1931282
svcg, 0.9766090881237754, 0.16154085330439474, 0.9527632207731035, 0.14654449151856078, 0.2313710666681678, 0.15801386666790687, 0.1770782666679321
bid, 0.9639580318709425, 0.17502899206138225, 0.9905523124530482, 0.15616528799350218, 0.4402246, 0.3325892, 0.2433148
quadratic, 0.9707531765750954, 0.14857657580027608, 1.0116203404460409, 0.14099639700538896, 0.3753702, 0.2641136, 0.2252218
proxy, 0.9667505983064746, 0.24669421234343397, 0.8238470619200593, 0.18286379580621498, 0.229234, 0.1819128, 0.1713412
shapley, 0.978128701712715, 0.15696756201294193, 0.9697642346019751, 0.13716039053827414, 0.2780603, 0.2001356, 0.2020257
svcg, 0.9784734661789601, 0.15017918402055372, 0.9804590388089639, 0.1353534253910372, 0.24472060000053034, 0.1734199333351658, 0.1791436000014832
bid, 0.9656186394883568, 0.16040383298540503, 1.0209430090033056, 0.1437035515682272, 0.458487, 0.3507554, 0.250198
quadratic, 0.9700966856302436, 0.14256496037166472, 1.0430126163677753, 0.1314537762124369, 0.4001466, 0.2884616, 0.2427788
proxy, 0.9638141940486146, 0.2500115808526037, 0.8169622667348428, 0.18808670122839513, 0.2365008, 0.1864992, 0.1700012
shapley, 0.973067755212334, 0.1647933252771677, 0.9474975774720242, 0.1486518158560506, 0.2911311, 0.1991797, 0.1853788
svcg, 0.9731470706409089, 0.16071753165461874, 0.9568782206172931, 0.14722587992307523, 0.25713619999959714, 0.17440073333520525, 0.16601840000119922
bid, 0.9687020066803724, 0.14614564344182396, 1.054198692633216, 0.12979300776669475, 0.4733456, 0.3685136, 0.2605518
quadratic, 0.9703520371450562, 0.1375117312649155, 1.0759913444081473, 0.12077287268394402, 0.4250928, 0.315108, 0.2590474
proxy, 0.9721372427028394, 0.2072174646383178, 0.9051653371148017, 0.15403066268468343, 0.2423784, 0.204922, 0.1785844
shapley, 0.9736875948429656, 0.15103559870253197, 0.9768469556869984, 0.1382181208681341, 0.3034679, 0.204878, 0.188084
svcg, 0.9723515909829928, 0.1540645661506491, 0.9779708706431677, 0.13951041107737147, 0.26911279999868565, 0.182505466668787, 0.17074793333462956
bid, 0.9704312861167862, 0.13770800618204798, 1.080879584316764, 0.11937118443108535, 0.4849482, 0.3805608, 0.2631364
quadratic, 0.9727961034615246, 0.1335327166791363, 1.1047769766516125, 0.1107174742354738, 0.4502648, 0.344613, 0.2675994
