name, EFF, INC, REV, DEV, LM_t, LM_t|bne, LM_bne
quadratic, 0.9977860425102391, 0.05412077490209631, 0.9886237154494767, 0.04708404247986379, 0.2502834, 0.22734200000000002, 0.2264526
proxy, 0.9978957996514098, 0.05272665538300548, 0.9912556859712995, 0.04548843729328571, 0.4126046, 0.4544624, 0.4543742
shapley, 0.9978943837344615, 0.05270757062733959, 0.9911985101746721, 0.04551033366550055, 0.39463620000000005, 0.45443405, 0.45432605
svcg, 0.9978919736575855, 0.052771384155151486, 0.9911013299795245, 0.045541460948459324, 0.37789080000241415, 0.45440880000000194, 0.45426560000000193
bid, 0.9985986686177889, 0.04479052224906039, 1.0000263832730711, 0.04101510944349451, 0.0879366, 0.051101, 0.0506758
quadratic, 0.9923976965600948, 0.10024814488068723, 0.9627004564578715, 0.08735354475519776, 0.25020939999999997, 0.2084401, 0.2062898
proxy, 0.9928800716522809, 0.09708808425226974, 0.9692810507011227, 0.08361562663227654, 0.3447944, 0.4165106, 0.4161516
shapley, 0.9928634595983983, 0.09717520326448587, 0.968913208105468, 0.08375682619071341, 0.32081605, 0.41647815, 0.41599215
svcg, 0.9928530476936159, 0.09720269452218029, 0.9687272637030157, 0.08383601253144006, 0.2963238333348813, 0.41644036666667245, 0.41587036666667243
bid, 0.9941822705624382, 0.09101363420443385, 0.973839935323501, 0.08355241231024157, 0.1557622, 0.0876156, 0.0858434
quadratic, 0.9865748310788782, 0.13317696274603974, 0.9363033855424179, 0.11796849959965194, 0.2502177, 0.19495220000000002, 0.1910372
proxy, 0.9862921749648812, 0.1343398651192904, 0.9401585278006288, 0.1158438237231925, 0.2928026, 0.384475, 0.3839374
shapley, 0.986232986406106, 0.13451216199172136, 0.9393567229998938, 0.11617411827233476, 0.2714466, 0.3844241, 0.3835561
svcg, 0.9861932527539061, 0.13463949540675874, 0.938897115593444, 0.11639648676823022, 0.24638769999887164, 0.3843774333333396, 0.38328083333333957
bid, 0.9890368264691439, 0.12483065173056947, 0.9511105015389022, 0.11406279990178082, 0.2077922, 0.1191362, 0.1146802
quadratic, 0.9836634817170369, 0.14710178749856223, 0.9239400628509258, 0.1350331711256704, 0.2502853, 0.1916975, 0.1825095
