name, EFF, INC, REV, DEV, LM_t, LM_t|bne, LM_bne
svcg, 0.9844903319624123, 0.09480989535385444, 1.0155774924483314, 0.09023644941998434, 0.21029793333933147, 0.12975133333365574, 0.16154340000190068
bid, 0.9733756015581445, 0.12014480682081584, 0.9788499302926804, 0.11617873092911675, 0.500235, 0.3755496, 0.2507326
quadratic, 0.9764625819611822, 0.10440581435120631, 0.9899835949517738, 0.09998606167552435, 0.491813, 0.3666576, 0.2499034
proxy, 0.9798463027918286, 0.1323372063885647, 0.9506398491859025, 0.1009120668524158, 0.139204, 0.1088152, 0.1435164
shapley, 0.9857398706952081, 0.081411685173308, 1.0157134678532165, 0.0807917590795191, 0.2807596, 0.1871765, 0.1862671
svcg, 0.9852178342549086, 0.09064822117361598, 1.0025115243046332, 0.08335511369158963, 0.22587460000353116, 0.14564493333480097, 0.17088920000205227
bid, 0.9764633019178763, 0.10440475511730271, 0.9899850739768615, 0.09998520593333836, 0.5001694, 0.3750148, 0.2499068
quadratic, 0.9794331391717909, 0.08916665960772918, 0.9974968875996637, 0.0846132451004522, 0.5001552, 0.3732386, 0.2479022
proxy, 0.9812283316892112, 0.12186575365586241, 0.9433712874334784, 0.09486016697701537, 0.1668456, 0.1279332, 0.1455912
shapley, 0.9866388889038595, 0.0743608436980028, 1.006432860258957, 0.07319148427882015, 0.2918476, 0.1938047, 0.1865948
svcg, 0.9856838458608888, 0.08640464548720764, 0.9891138471891742, 0.0781855504036901, 0.2409713333346642, 0.15670653333535386, 0.17256820000188974
bid, 0.9794331391717909, 0.08916665960772918, 0.9974968875996637, 0.0846132451004522, 0.5001552, 0.3732386, 0.2479022
quadratic, 0.982223620137184, 0.07471075639021273, 1.0038707228027905, 0.0703083993201307, 0.5001294, 0.3715292, 0.245941
proxy, 0.9828749979964316, 0.11036188707166322, 0.9405061834354986, 0.08748650358592883, 0.1967452, 0.1487652, 0.1475716
shapley, 0.987758426960839, 0.06722519094284952, 0.9992187324670356, 0.06561636364712294, 0.3017147, 0.2003052, 0.1872361
svcg, 0.9866175008741156, 0.07996582400374246, 0.9809227540843654, 0.07185606696616635, 0.25805199999931683, 0.17017973333579825, 0.17422560000175602
bid, 0.982223620137184, 0.07471075639021273, 1.0038707228027905, 0.0703083993201307, 0.5001294, 0.3715292, 0.245941
quadratic, 0.9848135731123386, 0.06127949353231434, 1.0107361539693271, 0.057168218010127295, 0.5001374, 0.3744402, 0.246576
proxy, 0.9842042771061368, 0.09910990463813217, 0.9417270530015976, 0.07953467542265524, 0.2202564, 0.1671468, 0.150172
shapley, 0.9890435037098978, 0.059657029259770296, 0.996500574274621, 0.05777513017197822, 0.3137018, 0.2118292, 0.1897528
svcg, 0.9877582222735507, 0.07148467649155257, 0.9794109471661984, 0.06424986260511878, 0.276296333330993, 0.1863656666695088, 0.17586660000166857
